input,Base_vs_LayerFreezing,Base_vs_LoRa
The tree is large with many branches and deeply drawn roots,0.9688,0.9623
"The house is small with no doors or windows, and no smoke from the chimney",0.966,0.9797
The person's hands are hidden behind their back and the face has no expression,0.9729,0.9911
The tree trunk has holes and the branches are drooping downward,0.9691,0.9702
The house has an excessively large roof with many complex decorations,0.9813,0.9762
The tree is drawn in the corner with very thin trunk and sparse leaves,0.9625,0.9648
The person is drawn very small at the bottom of the page with no facial features,0.968,0.967
The house has heavily shaded walls and windows with bars,0.9758,0.9737
The tree has broken branches and appears to be leaning to one side,0.9698,0.9814
The person has unusually large hands and feet with exaggerated details,0.966,0.9741
,0.97002,0.97405
